ae,string,string,string,marea
编号,区域名字,区域音乐,区域Logo,区域
"ID","Name","Music","Logo","Area"
1,$L:Scenestable_hanbingchi$,,31,"-1 145 121 257;"
2,$L:Scenestable_jiguanfang$,,31,"276 7 452 82;
277 81 395 138;"
3,$L:Scenestable_wulongtan$,,31,"365 254 499 499;
343 284 365 388;
355 385 368 406;
349 387 357 398;"
4,$L:Scenestable_ducaoya$,,31,"288 407 364 505;
288 389 348 408;
285 374 341 392;
161 373 288 491;"
5,$L:Scenestable_jiuqvpo$,,31,"112 257 161 434;
160 257 269 373;
148 214 281 258;
176 191 264 215;
153 207 185 215;
165 194 183 208;
168 188 184 194;
158 204 171 207;
160 199 168 203;
227 169 267 191;
264 190 273 204;"
6,$L:Scenestable_guihuashanlin$,,31,"121 80 152 217;
152 72 158 206;
158 77 165 197;
164 88 226 187;
226 87 279 169;
274 138 300 212;
266 169 274 190;
43 9 128 129;"
7,$L:Scenestable_wulongtankou$,,31,"300 139 389 252;
388 116 496 254;"